query_name,timestamp,ImpalaServer,PlanFragmentExecutor,stage,Planfragment,Backend,ExchangeExecNode,time_elapsed
query,1.52022e+011,Server1,5,conversion,5,1,23,0.007307378
query,1.52022e+011,Server1,5,deserialization,5,1,23,0.003372191
query,1.55943e+011,Server1,10,conversion,0,1,18,0.005732917
query,1.55943e+011,Server1,10,deserialization,0,1,18,0.002648803
query,1.68301e+011,Server3,4,conversion,5,3,23,0.007307378
query,1.68301e+011,Server3,4,deserialization,5,3,23,0.003372191
query,1.68304e+011,Server2,4,conversion,5,2,23,0.007307378
query,1.68304e+011,Server2,4,deserialization,5,2,23,0.003372191
query,1.71449e+011,Server0,4,conversion,5,0,23,0.007307378
query,1.71449e+011,Server0,4,deserialization,5,0,23,0.003372191
query,1.7149e+011,Server3,1,conversion,7,3,24,0.013903504
query,1.7149e+011,Server3,1,deserialization,7,3,24,0.012875861
query,1.7149e+011,Server3,1,conversion,7,3,26,0.000206321
query,1.7149e+011,Server3,1,deserialization,7,3,26,8.111e-05
query,1.7149e+011,Server3,1,conversion,7,3,27,1.7816e-05
query,1.7149e+011,Server3,1,deserialization,7,3,27,4.184e-06
query,1.71491e+011,Server0,1,conversion,7,0,24,0.013903871
query,1.71491e+011,Server0,1,deserialization,7,0,24,0.012876201
query,1.71491e+011,Server0,1,conversion,7,0,26,0.000206321
query,1.71491e+011,Server0,1,deserialization,7,0,26,8.111e-05
query,1.71491e+011,Server0,1,conversion,7,0,27,1.7816e-05
query,1.71491e+011,Server0,1,deserialization,7,0,27,4.184e-06
query,1.71491e+011,Server1,2,conversion,7,1,24,0.013903687
query,1.71491e+011,Server1,2,deserialization,7,1,24,0.012876031
query,1.71491e+011,Server1,2,conversion,7,1,26,0.000206321
query,1.71491e+011,Server1,2,deserialization,7,1,26,8.111e-05
query,1.71491e+011,Server1,2,conversion,7,1,27,1.7816e-05
query,1.71491e+011,Server1,2,deserialization,7,1,27,4.184e-06
query,1.71491e+011,Server2,1,conversion,7,2,24,0.013903504
query,1.71491e+011,Server2,1,deserialization,7,2,24,0.012875861
query,1.71491e+011,Server2,1,conversion,7,2,26,0.000206321
query,1.71491e+011,Server2,1,deserialization,7,2,26,8.111e-05
query,1.71491e+011,Server2,1,conversion,7,2,27,1.7816e-05
query,1.71491e+011,Server2,1,deserialization,7,2,27,4.184e-06
query,1.72617e+011,Server3,9,conversion,0,3,18,0.005732917
query,1.72617e+011,Server3,9,deserialization,0,3,18,0.002648803
query,1.72626e+011,Server2,9,conversion,0,2,18,0.005732917
query,1.72626e+011,Server2,9,deserialization,0,2,18,0.002648803
query,1.75844e+011,Server0,9,conversion,0,0,18,0.005732917
query,1.75844e+011,Server0,9,deserialization,0,0,18,0.002648803
query,1.75892e+011,Server3,6,conversion,2,3,19,0.016875663
query,1.75892e+011,Server3,6,deserialization,2,3,19,0.01319673
query,1.75892e+011,Server3,6,conversion,2,3,21,0.000142215
query,1.75892e+011,Server3,6,deserialization,2,3,21,0.000118845
query,1.75892e+011,Server3,6,conversion,2,3,22,1.9154e-05
query,1.75892e+011,Server3,6,deserialization,2,3,22,3.761e-06
query,1.75894e+011,Server0,6,conversion,2,0,19,0.016876107999999997
query,1.75894e+011,Server0,6,deserialization,2,0,19,0.013197078
query,1.75894e+011,Server0,6,conversion,2,0,21,0.000142215
query,1.75894e+011,Server0,6,deserialization,2,0,21,0.000118845
query,1.75894e+011,Server0,6,conversion,2,0,22,1.9154e-05
query,1.75894e+011,Server0,6,deserialization,2,0,22,3.761e-06
query,1.75894e+011,Server1,7,conversion,2,1,19,0.016875885
query,1.75894e+011,Server1,7,deserialization,2,1,19,0.013196904
query,1.75894e+011,Server1,7,conversion,2,1,21,0.000142215
query,1.75894e+011,Server1,7,deserialization,2,1,21,0.000118845
query,1.75894e+011,Server1,7,conversion,2,1,22,1.9154e-05
query,1.75894e+011,Server1,7,deserialization,2,1,22,3.761e-06
query,1.75894e+011,Server2,6,conversion,2,2,19,0.016875663
query,1.75894e+011,Server2,6,deserialization,2,2,19,0.01319673
query,1.75894e+011,Server2,6,conversion,2,2,21,0.000142215
query,1.75894e+011,Server2,6,deserialization,2,2,21,0.000118845
query,1.75894e+011,Server2,6,conversion,2,2,22,1.9154e-05
query,1.75894e+011,Server2,6,deserialization,2,2,22,3.761e-06
query,1.75895e+011,Server1,1,conversion,10,1,28,0.010363602
query,1.75895e+011,Server1,1,deserialization,10,1,28,0.007511316
query,1.75895e+011,Server1,1,conversion,10,1,29,0.011859103
query,1.75895e+011,Server1,1,deserialization,10,1,29,0.0059359799999999996
query,1.75895e+011,Server2,0,conversion,10,2,28,0.010363602
query,1.75895e+011,Server2,0,deserialization,10,2,28,0.007511316
query,1.75895e+011,Server2,0,conversion,10,2,29,0.011858335000000001
query,1.75895e+011,Server2,0,deserialization,10,2,29,0.005935595
query,1.75895e+011,Server3,0,conversion,10,3,28,0.010363602
query,1.75895e+011,Server3,0,deserialization,10,3,28,0.007511316
query,1.75895e+011,Server3,0,conversion,10,3,29,0.011858335000000001
query,1.75895e+011,Server3,0,deserialization,10,3,29,0.005935595
query,1.75895e+011,Server0,0,conversion,10,0,28,0.010364275
query,1.75895e+011,Server0,0,deserialization,10,0,28,0.0075118039999999995
query,1.75895e+011,Server0,0,conversion,10,0,29,0.011859103
query,1.75895e+011,Server0,0,deserialization,10,0,29,0.0059359799999999996
query,1.75895e+011,Server1,0,conversion,11,1,30,0.0
query,1.75895e+011,Server1,0,deserialization,11,1,30,1.7701000000000002e-05
