query_name,timestamp,ImpalaServer,PlanFragmentExecutor,Backend,HashJoinExecNode,build_phase_time_elapsed,probe_phase_time_elapsed
query,1.52022e+011,Server1,5,1,10,0.003328,52.427803
query,1.55943e+011,Server1,10,1,2,0.003381,53.483067
query,1.68301e+011,Server3,4,3,10,0.003328,58.056173
query,1.68304e+011,Server2,4,2,10,0.003328,58.056173
query,1.71449e+011,Server0,4,0,10,0.003328,59.144532
query,1.7149e+011,Server3,1,3,15,0.000028,0.002356
query,1.7149e+011,Server3,1,3,14,0.000054,0.003498
query,1.71491e+011,Server0,1,0,15,0.000028,0.002356
query,1.71491e+011,Server0,1,0,14,0.000054,0.003498
query,1.71491e+011,Server1,2,1,15,0.000028,0.002356
query,1.71491e+011,Server1,2,1,14,0.000054,0.003498
query,1.71491e+011,Server2,1,2,15,0.000028,0.002356
query,1.71491e+011,Server2,1,2,14,0.000054,0.003498
query,1.72617e+011,Server3,9,3,2,0.003381,59.224725
query,1.72626e+011,Server2,9,2,2,0.003381,59.224725
query,1.75844e+011,Server0,9,0,2,0.003381,60.334991
query,1.75892e+011,Server3,6,3,7,0.000031,0.002471
query,1.75892e+011,Server3,6,3,6,0.000102,0.003273
query,1.75894e+011,Server0,6,0,7,0.000031,0.002471
query,1.75894e+011,Server0,6,0,6,0.000102,0.003273
query,1.75894e+011,Server1,7,1,7,0.000031,0.002471
query,1.75894e+011,Server1,7,1,6,0.000102,0.003273
query,1.75894e+011,Server2,6,2,7,0.000031,0.002471
query,1.75894e+011,Server2,6,2,6,0.000102,0.003273
query,1.75895e+011,Server1,1,1,16,0.004828,0.022838
query,1.75895e+011,Server2,0,2,16,0.004827,0.022838
query,1.75895e+011,Server3,0,3,16,0.004827,0.022838
query,1.75895e+011,Server0,0,0,16,0.004828,0.022840
