query_name,timestamp,ImpalaServer,PlanFragmentExecutor,Backend,HdfsScanExecNode,time_elapsed,throughput
query,2.39324e+008,Server0,3,0,12,0.008414,25.767237
query,2.44189e+008,Server0,8,0,4,0.010423,20.877629
query,2.67843e+008,Server1,3,1,13,0.010105,36.479591
query,2.74509e+008,Server1,8,1,5,0.010105,36.479591
query,2.84377e+008,Server1,6,1,9,0.016717,46.827838
query,2.86736e+008,Server1,11,1,1,0.016717,46.827838
query,1.52022e+011,Server1,5,1,8,62.922484,73.341036
query,1.55943e+011,Server1,10,1,0,62.762484,73.528003
query,1.68301e+011,Server3,4,3,8,68.975754,73.410938
query,1.68304e+011,Server2,4,2,8,68.759090,73.532990
query,1.71449e+011,Server0,4,0,8,69.819917,73.065067
query,1.72617e+011,Server3,9,3,0,69.320754,73.045582
query,1.72626e+011,Server2,9,2,0,69.016090,73.259170
query,1.75844e+011,Server0,9,0,0,69.874917,73.007556
